Metric,Model,CEC,crop,pref
R2,MT,0.537±0.125,0.836±0.053,0.842±0.033
R2,ST,0.517±0.130,0.849±0.052,0.846±0.020
R2,RF,-541.799±123.502,0.816±0.045,0.816±0.029
R2,SVR,-483.291±155.095,0.567±0.061,0.376±0.070
R2,XGB,-547.825±126.785,0.792±0.023,0.792±0.041
MSE,MT,36.727±14.649,0.737±0.061,0.800±0.055
MSE,ST,38.178±14.571,0.808±0.039,0.808±0.043
MSE,RF,40225.151±1344.844,0.714±0.054,0.768±0.044
MSE,SVR,35233.117±3778.987,0.199±0.024,0.051±0.008
MSE,XGB,40654.359±1664.360,0.687±0.031,0.706±0.043
