Metric,Model,CEC,pref,area
R2,MT,0.308±0.093,0.823±0.024,0.997±0.007
R2,ST,0.231±0.386,0.809±0.061,0.990±0.008
R2,RF,-535.572±65.335,0.766±0.030,0.977±0.013
R2,SVR,-469.983±25.804,0.371±0.050,0.977±0.008
R2,XGB,-532.052±79.252,0.766±0.037,0.980±0.013
MSE,MT,56.385±6.948,0.739±0.062,0.996±0.007
MSE,ST,63.698±34.527,0.745±0.101,0.988±0.010
MSE,RF,43588.144±3495.718,0.681±0.081,0.969±0.017
MSE,SVR,38368.627±1052.984,0.046±0.004,0.968±0.010
MSE,XGB,43245.591±4542.109,0.663±0.041,0.975±0.015
