Metric,Model,NO3_N,NH4_N,Available_P,Exchangeable_K,pH,EC
R2,MT,0.745±0.081,0.691±0.092,0.664±0.068,0.686±0.072,0.813±0.060,0.722±0.056
R2,MT_comp,0.745±0.081,0.691±0.092,0.664±0.068,0.686±0.072,0.813±0.060,0.722±0.056
R2,ST,0.739±0.059,0.722±0.098,0.678±0.062,0.641±0.052,0.823±0.063,0.687±0.044
R2,RF,0.749±0.070,0.600±0.115,0.632±0.089,0.668±0.050,0.811±0.057,0.719±0.071
R2,SVR,0.709±0.048,0.749±0.047,0.565±0.069,0.552±0.048,0.837±0.061,0.705±0.063
R2,XGB,0.674±0.133,0.570±0.146,0.534±0.056,0.590±0.034,0.775±0.056,0.686±0.066
MSE,MT,1.104±0.144,0.362±0.056,42.121±8.843,12.054±1.129,0.271±0.041,0.025±0.002
MSE,MT_comp,1.104±0.144,0.362±0.056,42.121±8.843,12.054±1.129,0.271±0.041,0.025±0.002
MSE,ST,1.219±0.127,0.363±0.058,41.503±7.308,12.838±0.748,0.297±0.058,0.027±0.001
MSE,RF,5.033±0.494,0.859±0.075,6833.131±385.225,815.220±44.714,4.072±0.188,0.038±0.002
MSE,SVR,3.715±0.311,0.785±0.053,3710.098±87.752,688.533±23.831,4.062±0.186,0.040±0.002
MSE,XGB,5.100±0.656,0.822±0.052,6667.282±934.124,810.309±46.435,4.069±0.180,0.038±0.002
