Metric,Model,pH,Available.P,Exchangeable.K
R2,MT,0.651±0.095,0.349±0.068,0.324±0.133
R2,ST,0.646±0.095,0.385±0.063,0.333±0.096
R2,RF,-172.820±21.949,-1.913±0.301,-8.116±2.774
R2,SVR,-169.167±19.797,-34.925±5.251,-37.729±6.828
R2,XGB,-145.078±21.951,-1.357±0.246,-6.304±1.877
MSE,MT,0.253±0.035,40.936±4.820,13.510±1.018
MSE,ST,0.260±0.031,40.231±7.523,14.613±3.549
MSE,RF,3.850±0.206,6332.390±692.222,1027.056±114.124
MSE,SVR,3.843±0.200,3570.570±274.875,851.401±73.667
MSE,XGB,3.860±0.218,6583.594±955.033,998.633±130.610
