Metric,Model,pH,Available.P,crop
R2,MT,0.659±0.085,0.379±0.107,0.819±0.059
R2,ST,0.654±0.110,0.381±0.092,0.823±0.054
R2,RF,-152.635±14.182,-1.694±0.304,0.779±0.049
R2,SVR,-161.679±23.118,-32.688±2.823,0.779±0.033
R2,XGB,-143.402±17.650,-1.270±0.284,0.809±0.042
MSE,MT,0.267±0.026,39.829±6.720,0.741±0.099
MSE,ST,0.263±0.041,39.826±5.425,0.746±0.076
MSE,RF,4.072±0.187,6841.367±384.933,0.644±0.091
MSE,SVR,4.062±0.186,3710.098±87.752,0.543±0.041
MSE,XGB,4.069±0.180,6667.282±934.124,0.710±0.072
