Metric,Model,pH,Available.P,crop_ph
R2,MT,0.652±0.085,0.373±0.073,0.894±0.026
R2,ST,0.641±0.100,0.361±0.052,0.894±0.021
R2,RF,-172.820±21.949,-1.913±0.301,0.875±0.019
R2,SVR,-169.167±19.797,-34.925±5.251,0.901±0.016
R2,XGB,-145.078±21.951,-1.357±0.246,0.910±0.019
MSE,MT,0.256±0.026,41.430±6.133,0.873±0.024
MSE,ST,0.259±0.036,40.788±6.384,0.871±0.023
MSE,RF,3.850±0.206,6332.390±692.222,0.849±0.029
MSE,SVR,3.843±0.200,3570.570±274.875,0.883±0.014
MSE,XGB,3.860±0.218,6583.594±955.033,0.891±0.023
