Metric,Model,pH,Available.P,croptype
R2,MT,0.635±0.104,0.403±0.073,0.953±0.017
R2,ST,0.652±0.116,0.385±0.081,0.960±0.013
R2,RF,0.390±0.322,-0.547±0.435,0.953±0.019
R2,SVR,0.423±0.293,-2.079±1.128,0.967±0.018
R2,XGB,0.363±0.215,-0.769±0.877,0.950±0.028
MSE,MT,0.159±0.070,4786.442±1694.209,0.929±0.028
MSE,ST,0.153±0.077,4895.196±1609.457,0.945±0.025
MSE,RF,0.153±0.077,5023.973±1275.053,0.931±0.030
MSE,SVR,0.139±0.070,5147.072±2014.456,0.955±0.028
MSE,XGB,0.179±0.078,6686.108±1554.400,0.930±0.042
