,,accuracy,Loss
,,pH,pH
method,fold,,
M,fold1,0.5552165508270264,0.18611831963062286
S,fold1,0.6822048425674438,0.13298043608665466
R,fold1,-35.67791123803052,15.34776141312293
X,fold1,-35.355892181396484,15.213014602661133
S,fold1,-35.57844028977399,15.306138094622847
M,fold2,0.6096915006637573,0.14997857809066772
S,fold2,0.6066343784332275,0.1511532962322235
R,fold2,-41.33901626051605,16.26904250328591
X,fold2,-41.86612319946289,16.471586227416992
S,fold2,-41.2578145792661,16.237840228876298
M,fold3,0.657870888710022,0.12744660675525665
S,fold3,0.6205942630767822,0.14133255183696747
R,fold3,-45.7871007629861,17.42867780377838
X,fold3,-45.652862548828125,17.37866973876953
S,fold3,-45.90273175649345,17.471751541990535
M,fold4,0.7327696084976196,0.09348992258310318
S,fold4,0.5936872959136963,0.14214752614498138
R,fold4,-54.389082595128976,19.377738734932834
X,fold4,-54.02666473388672,19.250947952270508
S,fold4,-53.92719093646212,19.216147037324934
M,fold5,0.4025365114212036,0.34240421652793884
S,fold5,0.39704352617263794,0.3455522060394287
R,fold5,-26.046613627741213,15.500316716394897
X,fold5,-26.2779483795166,15.632895469665527
S,fold5,-25.76024215038052,15.336198255624645
