,,accuracy,accuracy,accuracy,Loss,Loss,Loss
,,pH,pref,crop,pH,pref,crop
method,fold,,,,,,
M,fold1,0.6873083114624023,0.7833333333333333,0.8166666666666667,0.13084490597248077,0.7077561327561327,0.7936231800683627
S,fold1,0.6739635467529297,,,0.13642899692058563,,
R,fold1,-35.636219338080146,,,15.330315563244907,,
X,fold1,-35.355892181396484,,,15.213014602661133,,
S,fold1,-35.57844028977399,,,15.306138094622847,,
S,fold1,,0.8333333333333334,,,0.7435185185185186,
R,fold1,,0.7833333333333333,,,0.73989898989899,
X,fold1,,0.8833333333333333,,,0.7994200244200244,
S,fold1,,0.7166666666666667,,,0.49360670194003525,
S,fold1,,,0.75,,,0.5968253968253967
R,fold1,,,0.7,,,0.5913930789707188
X,fold1,,,0.7833333333333333,,,0.7361463932892504
S,fold1,,,0.7166666666666667,,,0.5702380952380952
M,fold2,0.6473089456558228,0.7666666666666667,0.7166666666666667,0.13552384078502655,0.6256682206682206,0.6395382395382395
S,fold2,0.6136658787727356,,,0.14845140278339386,,
R,fold2,-41.58658100914102,,,16.364170868879302,,
X,fold2,-41.86612319946289,,,16.471586227416992,,
S,fold2,-41.2578145792661,,,16.237840228876298,,
S,fold2,,0.85,,,0.8134087473373187,
R,fold2,,0.75,,,0.5675351901766996,
X,fold2,,0.8,,,0.7387110904968047,
S,fold2,,0.7,,,0.44412249176400115,
S,fold2,,,0.8,,,0.7342004933841669
R,fold2,,,0.8333333333333334,,,0.7759157509157509
X,fold2,,,0.75,,,0.7056180767464609
S,fold2,,,0.7833333333333333,,,0.6066849816849818
M,fold3,0.5875587463378906,0.7333333333333333,0.6833333333333333,0.15363861620426178,0.6794559468617118,0.4681949806949807
S,fold3,0.6607357859611511,,,0.12637940049171448,,
R,fold3,-45.905050919201685,,,17.472615454029476,,
X,fold3,-45.652862548828125,,,17.37866973876953,,
S,fold3,-45.90273175649345,,,17.471751541990535,,
S,fold3,,0.8333333333333334,,,0.7947824902370356,
R,fold3,,0.7666666666666667,,,0.6206596433869161,
X,fold3,,0.7833333333333333,,,0.6268781723327178,
S,fold3,,0.7166666666666667,,,0.5485696122059758,
S,fold3,,,0.8166666666666667,,,0.6584383753501399
R,fold3,,,0.8166666666666667,,,0.6372252747252747
X,fold3,,,0.8666666666666667,,,0.8238163300663301
S,fold3,,,0.8,,,0.5005411255411255
M,fold4,0.7696529030799866,0.7333333333333333,0.7666666666666667,0.08058638870716095,0.5933783019148874,0.6472271914132379
S,fold4,0.7990696430206299,,,0.07029500603675842,,
R,fold4,-54.52522606401621,,,19.42536820353855,,
X,fold4,-54.02666473388672,,,19.250947952270508,,
S,fold4,-53.92719093646212,,,19.216147037324934,,
S,fold4,,0.8333333333333334,,,0.812925962925963,
R,fold4,,0.7666666666666667,,,0.702994227994228,
X,fold4,,0.8333333333333334,,,0.7837092731829575,
S,fold4,,0.6333333333333333,,,0.41746344879415176,
S,fold4,,,0.7833333333333333,,,0.6880214848391103
R,fold4,,,0.7833333333333333,,,0.6389243831104297
X,fold4,,,0.8,,,0.6006106321839081
S,fold4,,,0.7833333333333333,,,0.5354944796805262
M,fold5,0.463884174823761,0.7457627118644068,0.8305084745762712,0.30724605917930603,0.714105339105339,0.6304432957393483
S,fold5,0.4901871681213379,,,0.2921719253063202,,
R,fold5,-25.97641247680335,,,15.460084689998947,,
X,fold5,-26.2779483795166,,,15.632895469665527,,
S,fold5,-25.76024215038052,,,15.336198255624645,,
S,fold5,,0.7288135593220338,,,0.6655833830252434,
R,fold5,,0.6271186440677966,,,0.551020590914208,
X,fold5,,0.7457627118644068,,,0.7287006974506974,
S,fold5,,0.7288135593220338,,,0.5847703222703222,
S,fold5,,,0.7457627118644068,,,0.5165140415140415
R,fold5,,,0.7457627118644068,,,0.45502995066948554
X,fold5,,,0.847457627118644,,,0.6847639149468417
S,fold5,,,0.8135593220338984,,,0.5022321428571428
